DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/01/2017,8:13,,,40.73384,-74.01007,"(40.73384, -74.01007)",WEST STREET                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3642995,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
04/01/2017,8:05,QUEENS,11419,40.693718,-73.81768,"(40.693718, -73.81768)",,,130-11    97 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3643012,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
04/01/2017,8:00,,,40.610508,-74.09576,"(40.610508, -74.09576)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3647895,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/01/2017,8:00,QUEENS,11418,40.707954,-73.83715,"(40.707954, -73.83715)",METROPOLITAN AVENUE             ,PARK LANE SOUTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3644671,SPORT UTILITY / STATION WAGON,,,,
04/01/2017,8:00,QUEENS,11372,,,,,,35-40     82 street                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3643025,PASSENGER VEHICLE,,,,
04/01/2017,8:00,QUEENS,11102,40.770527,-73.92731,"(40.770527, -73.92731)",21 STREET                       ,29 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3643459,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,8:00,MANHATTAN,10013,40.720318,-74.012184,"(40.720318, -74.012184)",WEST STREET                     ,NORTH MOORE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3643104,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,7:50,BROOKLYN,11207,40.675735,-73.89686,"(40.675735, -73.89686)",PENNSYLVANIA AVENUE             ,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Other Vehicular,,,,3643160,PICK-UP TRUCK,PASSENGER VEHICLE,,,
04/01/2017,7:48,BROOKLYN,11201,40.692055,-73.982544,"(40.692055, -73.982544)",FLATBUSH AVENUE EXTENSION       ,WILLOUGHBY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3642996,TAXI,PASSENGER VEHICLE,,,
04/01/2017,7:45,BROOKLYN,11222,40.723656,-73.93309,"(40.723656, -73.93309)",,,195       LOMBARDY STREET               ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3643632,,,,,
04/01/2017,7:30,,,40.903706,-73.88618,"(40.903706, -73.88618)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3646288,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,7:30,,,40.63778,-74.01794,"(40.63778, -74.01794)",63 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3643008,PASSENGER VEHICLE,,,,
04/01/2017,7:30,,,40.78925,-73.840004,"(40.78925, -73.840004)",128 STREET                      ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3643517,SPORT UTILITY / STATION WAGON,,,,
04/01/2017,7:25,,,40.843678,-73.871956,"(40.843678, -73.871956)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3643027,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/01/2017,7:20,,,40.691597,-73.991455,"(40.691597, -73.991455)",LIVINGSTON STREET               ,,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3643080,,,,,
04/01/2017,7:15,,,40.664368,-73.827736,"(40.664368, -73.827736)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,3643018,PASSENGER VEHICLE,,,,
04/01/2017,7:10,STATEN ISLAND,10306,40.56431,-74.110146,"(40.56431, -74.110146)",MILL ROAD                       ,EBBITTS STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3643059,PASSENGER VEHICLE,,,,
04/01/2017,7:04,BROOKLYN,11218,40.63965,-73.967926,"(40.63965, -73.967926)",CORTELYOU ROAD                  ,STRATFORD ROAD,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3645733,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2017,6:55,,,40.745285,-73.98874,"(40.745285, -73.98874)",WEST 28 STREET                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3642990,SPORT UTILITY / STATION WAGON,,,,
04/01/2017,6:50,,,40.650597,-73.97209,"(40.650597, -73.97209)",CONEY ISLAND AVENUE             ,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3643009,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/01/2017,6:50,BROOKLYN,11233,40.676323,-73.92524,"(40.676323, -73.92524)",,,1919      PACIFIC STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3645283,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/01/2017,6:45,,,40.683094,-73.80596,"(40.683094, -73.80596)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3643005,PASSENGER VEHICLE,,,,
04/01/2017,6:45,QUEENS,11373,40.74156,-73.88065,"(40.74156, -73.88065)",,,82-66     BROADWAY                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3643977,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
