DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/07/2017,14:20,QUEENS,11377,40.75428,-73.89751,"(40.75428, -73.89751)",NORTHERN BOULEVARD              ,69 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3708277,PASSENGER VEHICLE,,,,
07/07/2017,14:20,,,,,,GRAND ARMY PLAZA                ,UNION STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3707814,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,14:20,QUEENS,11372,40.751682,-73.895096,"(40.751682, -73.895096)",,,34-50     71 STREET                     ,1,0,1,0,0,0,0,0,Unspecified,,,,,3708275,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,14:26,,,40.787003,-73.97552,"(40.787003, -73.97552)",AMSTERDAM AVENUE                ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3707145,,,,,
07/07/2017,14:30,MANHATTAN,10013,40.723248,-74.00497,"(40.723248, -74.00497)",,,101       AVENUE OF THE AMERICAS        ,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3706747,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,14:30,MANHATTAN,10032,40.84019,-73.94307,"(40.84019, -73.94307)",WEST 165 STREET                 ,FORT WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3707382,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/07/2017,14:30,MANHATTAN,10036,,,,WEST 42 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3707710,PASSENGER VEHICLE,,,,
07/07/2017,14:30,MANHATTAN,10036,40.757103,-73.98356,"(40.757103, -73.98356)",,,120       WEST 45 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3707437,PASSENGER VEHICLE,,,,
07/07/2017,14:30,QUEENS,11365,40.739925,-73.782776,"(40.739925, -73.782776)",,,192-10    64 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3706777,SPORT UTILITY / STATION WAGON,,,,
07/07/2017,14:30,,,40.756474,-73.94727,"(40.756474, -73.94727)",41 AVENUE                       ,,,1,0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,,,,3707254,MOTORCYCLE,PASSENGER VEHICLE,,,
07/07/2017,14:30,BROOKLYN,11207,40.675755,-73.88738,"(40.675755, -73.88738)",LIBERTY AVENUE                  ,JEROME STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3706853,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/07/2017,14:36,QUEENS,11417,40.68081,-73.84521,"(40.68081, -73.84521)",ROCKAWAY BOULEVARD              ,94 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3706947,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
